Rory McIlroy
Robert MacIntyre
Tommy Fleetwood
Justin Rose
Rasmus Højgaard
Tyrrell Hatton
Shane Lowry
Jon Rahm
Sepp Straka
Viktor Hovland
Ludvig Åberg
Matt Fitzpatrick
Scottie Scheffler
J.J. Spaun
Xander Schauffele
Russell Henley
Harris English
Bryson DeChambeau
Justin Thomas
Collin Morikawa
Ben Griffin
Cameron Young
Patrick Cantlay
Sam Burns
